time_seconds,wind_mps
0,10.0
2,10.253
4,10.504
6,10.753
8,10.997
10,11.234
12,11.465
14,11.686
16,11.898
18,12.098
20,12.285
22,12.46
24,12.62
26,12.765
28,12.894
30,13.007
32,13.104
34,13.184
36,13.247
38,13.293
40,13.323
42,13.336
44,13.333
46,13.315
48,13.283
50,13.237
52,13.178
54,13.108
56,13.027
58,12.937
60,12.839
62,12.735
64,12.625
66,12.512
68,12.397
70,12.282
72,12.167
74,12.055
76,11.947
78,11.845
80,11.75
82,11.663
84,11.585
86,11.519
88,11.464
90,11.422
92,11.395
94,11.382
96,11.384
98,11.402
100,11.436
102,11.487
104,11.554
106,11.638
108,11.739
110,11.856
112,11.988
114,12.136
116,12.297
118,12.473
120,12.661
122,12.861
124,13.071
126,13.291
128,13.519
130,13.753
132,13.992
134,14.234
136,14.479
138,14.725
140,14.969
142,15.211
144,15.449
146,15.681
148,15.906
150,16.123
152,16.33
154,16.527
156,16.711
158,16.882
160,17.039
162,17.181
164,17.308
166,17.418
168,17.512
170,17.589
172,17.648
174,17.691
176,17.717
178,17.726
180,17.719
182,17.696
184,17.658
186,17.606
188,17.54
190,17.462
192,17.372
194,17.273
196,17.164
198,17.049
200,16.927
202,16.801
204,16.672
206,16.541
208,16.41
210,16.281
212,16.156
214,16.034
216,15.919
218,15.811
220,15.712
222,15.624
224,15.546
226,15.48
228,15.428
230,15.39
232,15.367
234,15.359
236,15.367
238,15.391
240,15.432
242,15.489
244,15.562
246,15.652
248,15.757
250,15.877
252,16.013
254,16.162
256,16.324
258,16.498
260,16.682
262,16.877
264,17.08
266,17.29
268,17.506
270,17.725
272,17.948
274,18.171
276,18.395
278,18.616
280,18.834
282,19.047
284,19.253
286,19.452
288,19.641
290,19.82
292,19.987
294,20.0
296,20.0
298,20.0
300,20.0
302,20.0
304,20.0
306,20.0
308,20.0
310,20.0
312,20.0
314,20.0
316,20.0
318,20.0
320,20.0
322,20.0
324,20.0
326,20.0
328,20.0
330,20.0
332,20.0
334,19.951
336,19.806
338,19.655
340,19.501
342,19.344
344,19.186
346,19.029
348,18.874
350,18.722
352,18.576
354,18.437
356,18.306
358,18.184
360,18.072
362,17.972
364,17.885
366,17.811
368,17.752
